Date,Country/Region,Cluster,Sum_Confirmed,Sum_Recovered,"Sum_Deaths"
2020-01-22,Afghanistan,3,0,0,0
2020-01-23,Afghanistan,3,0,0,0
2020-01-24,Afghanistan,3,0,0,0
2020-01-25,Afghanistan,3,0,0,0
2020-01-26,Afghanistan,3,0,0,0
2020-01-27,Afghanistan,3,0,0,0
2020-01-28,Afghanistan,3,0,0,0
2020-01-29,Afghanistan,3,0,0,0
2020-01-30,Afghanistan,3,0,0,0
2020-01-31,Afghanistan,3,0,0,0
2020-02-01,Afghanistan,3,0,0,0
2020-02-02,Afghanistan,3,0,0,0
2020-02-03,Afghanistan,3,0,0,0
2020-02-04,Afghanistan,3,0,0,0
2020-02-05,Afghanistan,3,0,0,0
2020-02-06,Afghanistan,3,0,0,0
2020-02-07,Afghanistan,3,0,0,0
2020-02-08,Afghanistan,3,0,0,0
2020-02-09,Afghanistan,3,0,0,0
2020-02-10,Afghanistan,3,0,0,0
2020-02-11,Afghanistan,3,0,0,0
2020-02-12,Afghanistan,3,0,0,0
2020-02-13,Afghanistan,3,0,0,0
2020-02-14,Afghanistan,3,0,0,0
2020-02-15,Afghanistan,3,0,0,0
2020-02-16,Afghanistan,3,0,0,0
2020-02-17,Afghanistan,3,0,0,0
2020-02-18,Afghanistan,3,0,0,0
2020-02-19,Afghanistan,3,0,0,0
2020-02-20,Afghanistan,3,0,0,0
2020-02-21,Afghanistan,3,0,0,0
2020-02-22,Afghanistan,3,0,0,0
2020-02-23,Afghanistan,3,0,0,0
2020-02-24,Afghanistan,3,1,0,0
2020-02-25,Afghanistan,3,1,0,0
2020-02-26,Afghanistan,3,1,0,0
2020-02-27,Afghanistan,3,1,0,0
2020-02-28,Afghanistan,3,1,0,0
2020-02-29,Afghanistan,3,1,0,0
2020-03-01,Afghanistan,3,1,0,0
2020-03-02,Afghanistan,3,1,0,0
2020-03-03,Afghanistan,3,1,0,0
2020-03-04,Afghanistan,3,1,0,0
2020-03-05,Afghanistan,3,1,0,0
2020-03-06,Afghanistan,3,1,0,0
2020-03-07,Afghanistan,3,1,0,0
2020-03-08,Afghanistan,3,4,0,0
2020-03-09,Afghanistan,3,4,0,0
2020-03-10,Afghanistan,3,5,0,0
2020-03-11,Afghanistan,3,7,0,0
2020-03-12,Afghanistan,3,7,0,0
2020-03-13,Afghanistan,3,7,0,0
2020-03-14,Afghanistan,3,11,0,0
2020-03-15,Afghanistan,3,16,0,0
2020-03-16,Afghanistan,3,21,1,0
2020-03-17,Afghanistan,3,22,1,0
2020-03-18,Afghanistan,3,22,1,0
2020-03-19,Afghanistan,3,22,1,0
2020-03-20,Afghanistan,3,24,1,0
2020-03-21,Afghanistan,3,24,1,0
2020-03-22,Afghanistan,3,40,1,1
2020-03-23,Afghanistan,3,40,1,1
2020-03-24,Afghanistan,3,74,1,1
2020-03-25,Afghanistan,3,84,2,2
2020-03-26,Afghanistan,3,94,2,4
2020-03-27,Afghanistan,3,110,2,4
2020-03-28,Afghanistan,3,110,2,4
2020-03-29,Afghanistan,3,120,2,4
2020-03-30,Afghanistan,3,170,2,4
2020-03-31,Afghanistan,3,174,5,4
2020-04-01,Afghanistan,3,237,5,4
2020-04-02,Afghanistan,3,273,10,6
2020-04-03,Afghanistan,3,281,10,6
2020-01-22,Albania,5,0,0,0
2020-01-23,Albania,5,0,0,0
2020-01-24,Albania,5,0,0,0
2020-01-25,Albania,5,0,0,0
2020-01-26,Albania,5,0,0,0
2020-01-27,Albania,5,0,0,0
2020-01-28,Albania,5,0,0,0
2020-01-29,Albania,5,0,0,0
2020-01-30,Albania,5,0,0,0
2020-01-31,Albania,5,0,0,0
2020-02-01,Albania,5,0,0,0
2020-02-02,Albania,5,0,0,0
2020-02-03,Albania,5,0,0,0
2020-02-04,Albania,5,0,0,0
2020-02-05,Albania,5,0,0,0
2020-02-06,Albania,5,0,0,0
2020-02-07,Albania,5,0,0,0
2020-02-08,Albania,5,0,0,0
2020-02-09,Albania,5,0,0,0
2020-02-10,Albania,5,0,0,0
2020-02-11,Albania,5,0,0,0
2020-02-12,Albania,5,0,0,0
2020-02-13,Albania,5,0,0,0
2020-02-14,Albania,5,0,0,0
2020-02-15,Albania,5,0,0,0
2020-02-16,Albania,5,0,0,0
2020-02-17,Albania,5,0,0,0
2020-02-18,Albania,5,0,0,0
2020-02-19,Albania,5,0,0,0
2020-02-20,Albania,5,0,0,0
2020-02-21,Albania,5,0,0,0
2020-02-22,Albania,5,0,0,0
2020-02-23,Albania,5,0,0,0
2020-02-24,Albania,5,0,0,0
2020-02-25,Albania,5,0,0,0
2020-02-26,Albania,5,0,0,0
2020-02-27,Albania,5,0,0,0
2020-02-28,Albania,5,0,0,0
2020-02-29,Albania,5,0,0,0
2020-03-01,Albania,5,0,0,0
2020-03-02,Albania,5,0,0,0
2020-03-03,Albania,5,0,0,0
2020-03-04,Albania,5,0,0,0
2020-03-05,Albania,5,0,0,0
2020-03-06,Albania,5,0,0,0
2020-03-07,Albania,5,0,0,0
2020-03-08,Albania,5,0,0,0
2020-03-09,Albania,5,2,0,0
2020-03-10,Albania,5,10,0,0
2020-03-11,Albania,5,12,0,1
2020-03-12,Albania,5,23,0,1
2020-03-13,Albania,5,33,0,1
2020-03-14,Albania,5,38,0,1
2020-03-15,Albania,5,42,0,1
2020-03-16,Albania,5,51,0,1
2020-03-17,Albania,5,55,0,1
2020-03-18,Albania,5,59,0,2
2020-03-19,Albania,5,64,0,2
2020-03-20,Albania,5,70,0,2
2020-03-21,Albania,5,76,2,2
2020-03-22,Albania,5,89,2,2
2020-03-23,Albania,5,104,2,4
2020-03-24,Albania,5,123,10,5
2020-03-25,Albania,5,146,17,5
2020-03-26,Albania,5,174,17,6
2020-03-27,Albania,5,186,31,8
2020-03-28,Albania,5,197,31,10
2020-03-29,Albania,5,212,33,10
2020-03-30,Albania,5,223,44,11
2020-03-31,Albania,5,243,52,15
2020-04-01,Albania,5,259,67,15
2020-04-02,Albania,5,277,76,16
2020-04-03,Albania,5,304,89,17
2020-01-22,Algeria,5,0,0,0
2020-01-23,Algeria,5,0,0,0
2020-01-24,Algeria,5,0,0,0
2020-01-25,Algeria,5,0,0,0
2020-01-26,Algeria,5,0,0,0
2020-01-27,Algeria,5,0,0,0
2020-01-28,Algeria,5,0,0,0
2020-01-29,Algeria,5,0,0,0
2020-01-30,Algeria,5,0,0,0
2020-01-31,Algeria,5,0,0,0
2020-02-01,Algeria,5,0,0,0
2020-02-02,Algeria,5,0,0,0
2020-02-03,Algeria,5,0,0,0
2020-02-04,Algeria,5,0,0,0
2020-02-05,Algeria,5,0,0,0
2020-02-06,Algeria,5,0,0,0
2020-02-07,Algeria,5,0,0,0
2020-02-08,Algeria,5,0,0,0
2020-02-09,Algeria,5,0,0,0
2020-02-10,Algeria,5,0,0,0
2020-02-11,Algeria,5,0,0,0
2020-02-12,Algeria,5,0,0,0
2020-02-13,Algeria,5,0,0,0
2020-02-14,Algeria,5,0,0,0
2020-02-15,Algeria,5,0,0,0
2020-02-16,Algeria,5,0,0,0
2020-02-17,Algeria,5,0,0,0
2020-02-18,Algeria,5,0,0,0
2020-02-19,Algeria,5,0,0,0
2020-02-20,Algeria,5,0,0,0
2020-02-21,Algeria,5,0,0,0
2020-02-22,Algeria,5,0,0,0
2020-02-23,Algeria,5,0,0,0
2020-02-24,Algeria,5,0,0,0
2020-02-25,Algeria,5,1,0,0
2020-02-26,Algeria,5,1,0,0
2020-02-27,Algeria,5,1,0,0
2020-02-28,Algeria,5,1,0,0
2020-02-29,Algeria,5,1,0,0
2020-03-01,Algeria,5,1,0,0
2020-03-02,Algeria,5,3,0,0
2020-03-03,Algeria,5,5,0,0
2020-03-04,Algeria,5,12,0,0
2020-03-05,Algeria,5,12,0,0
2020-03-06,Algeria,5,17,0,0
2020-03-07,Algeria,5,17,0,0
2020-03-08,Algeria,5,19,0,0
2020-03-09,Algeria,5,20,0,0
2020-03-10,Algeria,5,20,0,0
2020-03-11,Algeria,5,20,0,0
2020-03-12,Algeria,5,24,8,1
2020-03-13,Algeria,5,26,8,2
2020-03-14,Algeria,5,37,12,3
2020-03-15,Algeria,5,48,12,4
2020-03-16,Algeria,5,54,12,4
2020-03-17,Algeria,5,60,12,4
2020-03-18,Algeria,5,74,12,7
2020-03-19,Algeria,5,87,32,9
2020-03-20,Algeria,5,90,32,11
2020-03-21,Algeria,5,139,32,15
2020-03-22,Algeria,5,201,65,17
2020-03-23,Algeria,5,230,65,17
2020-03-24,Algeria,5,264,24,19
2020-03-25,Algeria,5,302,65,21
2020-03-26,Algeria,5,367,29,25
2020-03-27,Algeria,5,409,29,26
2020-03-28,Algeria,5,454,31,29
2020-03-29,Algeria,5,511,31,31
2020-03-30,Algeria,5,584,37,35
2020-03-31,Algeria,5,716,46,44
2020-04-01,Algeria,5,847,61,58
2020-04-02,Algeria,5,986,61,86
2020-04-03,Algeria,5,1171,62,105
2020-01-22,Andorra,6,0,0,0
2020-01-23,Andorra,6,0,0,0
2020-01-24,Andorra,6,0,0,0
2020-01-25,Andorra,6,0,0,0
2020-01-26,Andorra,6,0,0,0
2020-01-27,Andorra,6,0,0,0
2020-01-28,Andorra,6,0,0,0
2020-01-29,Andorra,6,0,0,0
2020-01-30,Andorra,6,0,0,0
2020-01-31,Andorra,6,0,0,0
2020-02-01,Andorra,6,0,0,0
2020-02-02,Andorra,6,0,0,0
2020-02-03,Andorra,6,0,0,0
2020-02-04,Andorra,6,0,0,0
2020-02-05,Andorra,6,0,0,0
2020-02-06,Andorra,6,0,0,0
2020-02-07,Andorra,6,0,0,0
2020-02-08,Andorra,6,0,0,0
2020-02-09,Andorra,6,0,0,0
2020-02-10,Andorra,6,0,0,0
2020-02-11,Andorra,6,0,0,0
2020-02-12,Andorra,6,0,0,0
2020-02-13,Andorra,6,0,0,0
2020-02-14,Andorra,6,0,0,0
2020-02-15,Andorra,6,0,0,0
2020-02-16,Andorra,6,0,0,0
2020-02-17,Andorra,6,0,0,0
2020-02-18,Andorra,6,0,0,0
2020-02-19,Andorra,6,0,0,0
2020-02-20,Andorra,6,0,0,0
2020-02-21,Andorra,6,0,0,0
2020-02-22,Andorra,6,0,0,0
2020-02-23,Andorra,6,0,0,0
2020-02-24,Andorra,6,0,0,0
2020-02-25,Andorra,6,0,0,0
2020-02-26,Andorra,6,0,0,0
2020-02-27,Andorra,6,0,0,0
2020-02-28,Andorra,6,0,0,0
2020-02-29,Andorra,6,0,0,0
2020-03-01,Andorra,6,0,0,0
2020-03-02,Andorra,6,1,0,0
2020-03-03,Andorra,6,1,0,0
2020-03-04,Andorra,6,1,0,0
2020-03-05,Andorra,6,1,0,0
2020-03-06,Andorra,6,1,0,0
2020-03-07,Andorra,6,1,0,0
2020-03-08,Andorra,6,1,0,0
2020-03-09,Andorra,6,1,0,0
2020-03-10,Andorra,6,1,0,0
2020-03-11,Andorra,6,1,0,0
2020-03-12,Andorra,6,1,1,0
2020-03-13,Andorra,6,1,0,0
2020-03-14,Andorra,6,1,1,0
2020-03-15,Andorra,6,1,1,0
2020-03-16,Andorra,6,2,1,0
2020-03-17,Andorra,6,39,1,0
2020-03-18,Andorra,6,39,1,0
2020-03-19,Andorra,6,53,1,0
2020-03-20,Andorra,6,75,1,0
2020-03-21,Andorra,6,88,1,0
2020-03-22,Andorra,6,113,1,1
2020-03-23,Andorra,6,133,1,1
2020-03-24,Andorra,6,164,1,1
2020-03-25,Andorra,6,188,1,1
2020-03-26,Andorra,6,224,1,3
2020-03-27,Andorra,6,267,1,3
2020-03-28,Andorra,6,308,1,3
2020-03-29,Andorra,6,334,1,6
2020-03-30,Andorra,6,370,10,8
2020-03-31,Andorra,6,376,10,12
2020-04-01,Andorra,6,390,10,14
2020-04-02,Andorra,6,428,10,15
2020-04-03,Andorra,6,439,16,16
2020-01-22,Angola,3,0,0,0
2020-01-23,Angola,3,0,0,0
2020-01-24,Angola,3,0,0,0
2020-01-25,Angola,3,0,0,0
2020-01-26,Angola,3,0,0,0
2020-01-27,Angola,3,0,0,0
2020-01-28,Angola,3,0,0,0
2020-01-29,Angola,3,0,0,0
2020-01-30,Angola,3,0,0,0
2020-01-31,Angola,3,0,0,0
2020-02-01,Angola,3,0,0,0
2020-02-02,Angola,3,0,0,0
2020-02-03,Angola,3,0,0,0
2020-02-04,Angola,3,0,0,0
2020-02-05,Angola,3,0,0,0
2020-02-06,Angola,3,0,0,0
2020-02-07,Angola,3,0,0,0
2020-02-08,Angola,3,0,0,0
2020-02-09,Angola,3,0,0,0
2020-02-10,Angola,3,0,0,0
2020-02-11,Angola,3,0,0,0
2020-02-12,Angola,3,0,0,0
2020-02-13,Angola,3,0,0,0
2020-02-14,Angola,3,0,0,0
2020-02-15,Angola,3,0,0,0
2020-02-16,Angola,3,0,0,0
2020-02-17,Angola,3,0,0,0
2020-02-18,Angola,3,0,0,0
2020-02-19,Angola,3,0,0,0
2020-02-20,Angola,3,0,0,0
2020-02-21,Angola,3,0,0,0
2020-02-22,Angola,3,0,0,0
2020-02-23,Angola,3,0,0,0
2020-02-24,Angola,3,0,0,0
2020-02-25,Angola,3,0,0,0
2020-02-26,Angola,3,0,0,0
2020-02-27,Angola,3,0,0,0
2020-02-28,Angola,3,0,0,0
2020-02-29,Angola,3,0,0,0
2020-03-01,Angola,3,0,0,0
2020-03-02,Angola,3,0,0,0
2020-03-03,Angola,3,0,0,0
2020-03-04,Angola,3,0,0,0
2020-03-05,Angola,3,0,0,0
2020-03-06,Angola,3,0,0,0
2020-03-07,Angola,3,0,0,0
2020-03-08,Angola,3,0,0,0
2020-03-09,Angola,3,0,0,0
2020-03-10,Angola,3,0,0,0
2020-03-11,Angola,3,0,0,0
2020-03-12,Angola,3,0,0,0
2020-03-13,Angola,3,0,0,0
2020-03-14,Angola,3,0,0,0
2020-03-15,Angola,3,0,0,0
2020-03-16,Angola,3,0,0,0
2020-03-17,Angola,3,0,0,0
2020-03-18,Angola,3,0,0,0
2020-03-19,Angola,3,0,0,0
2020-03-20,Angola,3,1,0,0
2020-03-21,Angola,3,2,0,0
2020-03-22,Angola,3,2,0,0
2020-03-23,Angola,3,3,0,0
2020-03-24,Angola,3,3,0,0
2020-03-25,Angola,3,3,0,0
2020-03-26,Angola,3,4,0,0
2020-03-27,Angola,3,4,0,0
2020-03-28,Angola,3,5,0,0
2020-03-29,Angola,3,7,0,2
2020-03-30,Angola,3,7,0,2
2020-03-31,Angola,3,7,1,2
2020-04-01,Angola,3,8,1,2
2020-04-02,Angola,3,8,1,2
2020-04-03,Angola,3,8,1,2
2020-01-22,Antigua and Barbuda,4,0,0,0
2020-01-23,Antigua and Barbuda,4,0,0,0
2020-01-24,Antigua and Barbuda,4,0,0,0
2020-01-25,Antigua and Barbuda,4,0,0,0
2020-01-26,Antigua and Barbuda,4,0,0,0
2020-01-27,Antigua and Barbuda,4,0,0,0
2020-01-28,Antigua and Barbuda,4,0,0,0
2020-01-29,Antigua and Barbuda,4,0,0,0
2020-01-30,Antigua and Barbuda,4,0,0,0
2020-01-31,Antigua and Barbuda,4,0,0,0
2020-02-01,Antigua and Barbuda,4,0,0,0
2020-02-02,Antigua and Barbuda,4,0,0,0
2020-02-03,Antigua and Barbuda,4,0,0,0
2020-02-04,Antigua and Barbuda,4,0,0,0
2020-02-05,Antigua and Barbuda,4,0,0,0
